source_name,column_name,expected_dtype
customers,customer_id,string
customers,customer_unique_id,string
customers,customer_zip_code_prefix,integer
customers,customer_city,string
customers,customer_state,string
geolocation,geolocation_zip_code_prefix,integer
geolocation,geolocation_lat,float
geolocation,geolocation_lng,float
geolocation,geolocation_city,string
geolocation,geolocation_state,string
order_items,order_id,string
order_items,order_item_id,integer
order_items,product_id,string
order_items,seller_id,string
order_items,shipping_limit_date,datetime
order_items,price,float
order_items,freight_value,float
order_payments,order_id,string
order_payments,payment_sequential,integer
order_payments,payment_type,string
order_payments,payment_installments,integer
order_payments,payment_value,float
order_reviews,review_id,string
order_reviews,order_id,string
order_reviews,review_score,integer
order_reviews,review_comment_title,string
order_reviews,review_comment_message,string
order_reviews,review_creation_date,datetime
order_reviews,review_answer_timestamp,datetime
orders,order_id,string
orders,customer_id,string
orders,order_status,string
orders,order_purchase_timestamp,datetime
orders,order_approved_at,datetime
orders,order_delivered_carrier_date,datetime
orders,order_delivered_customer_date,datetime
orders,order_estimated_delivery_date,datetime
products,product_id,string
products,product_category_name,string
products,product_name_lenght,integer
products,product_description_lenght,integer
products,product_photos_qty,integer
products,product_weight_g,float
products,product_length_cm,float
products,product_height_cm,float
products,product_width_cm,float
sellers,seller_id,string
sellers,seller_zip_code_prefix,integer
sellers,seller_city,string
sellers,seller_state,string
product_category_translation,product_category_name,string
product_category_translation,product_category_name_english,string
